window,h,true,lstm,last_sinr
159,3,8.929766,7.2086535,8.488416
160,1,7.6218038,7.2935596,8.020643
160,2,8.929766,7.1589413,8.020643
160,3,6.998635,7.1341944,8.020643
161,1,8.929766,7.2601523,7.6218038
161,2,6.998635,7.1810327,7.6218038
161,3,7.9232116,7.14915,7.6218038
162,1,6.998635,7.2375827,8.929766
162,2,7.9232116,7.2242155,8.929766
162,3,8.856124,7.2038345,8.929766
163,1,7.9232116,7.259865,6.998635
163,2,8.856124,7.1950755,6.998635
163,3,7.2139645,7.1868896,6.998635
164,1,8.856124,7.260495,7.9232116
164,2,7.2139645,7.2735553,7.9232116
164,3,8.9299135,7.2618585,7.9232116
165,1,7.2139645,7.244665,8.856124
165,2,8.9299135,7.205964,8.856124
165,3,7.016377,7.185591,8.856124
166,1,8.9299135,7.2901273,7.2139645
166,2,7.016377,7.3259606,7.2139645
166,3,9.693118,7.292479,7.2139645
167,1,7.016377,7.2788086,8.9299135
167,2,9.693118,7.3352284,8.9299135
167,3,3.276025,7.2936263,8.9299135
168,1,9.693118,7.2923813,7.016377
168,2,3.276025,7.320377,7.016377
168,3,7.306158,7.2908077,7.016377
169,1,3.276025,7.256728,9.693118
169,2,7.306158,7.3150907,9.693118
169,3,7.0662446,7.2771387,9.693118
170,1,7.306158,7.324728,3.276025
170,2,7.0662446,7.262188,3.276025
170,3,8.442441,7.2700057,3.276025
171,1,7.0662446,7.2864156,7.306158
171,2,8.442441,7.3218136,7.306158
171,3,9.683956,7.296297,7.306158
172,1,8.442441,7.285309,7.0662446
172,2,9.683956,7.343017,7.0662446
172,3,8.863918,7.305757,7.0662446
173,1,9.683956,7.2835073,8.442441
173,2,8.863918,7.367469,8.442441
173,3,5.986304,7.316522,8.442441
174,1,8.863918,7.227226,9.683956
174,2,5.986304,7.3122907,9.683956
174,3,6.3694043,7.2636075,9.683956
175,1,5.986304,7.2526126,8.863918
175,2,6.3694043,7.3223033,8.863918
175,3,1.877527,7.272933,8.863918
176,1,6.3694043,7.293268,5.986304
176,2,1.877527,7.301345,5.986304
176,3,8.915708,7.278,5.986304
177,1,1.877527,7.2963376,6.3694043
177,2,8.915708,7.3101835,6.3694043
177,3,7.516639,7.289553,6.3694043
178,1,8.915708,7.366465,1.877527
178,2,7.516639,7.3430247,1.877527
178,3,5.433894,7.3236327,1.877527
179,1,7.516639,7.316696,8.915708
179,2,5.433894,7.3903475,8.915708
