window,h,true,lstm,last_sinr
157,2,8.488416,7.2296877,8.540664
157,3,8.020643,7.2081237,8.540664
158,1,8.488416,7.254555,4.4268336
158,2,8.020643,7.2457356,4.4268336
158,3,7.6218038,7.238228,4.4268336
159,1,8.020643,7.2360425,8.488416
159,2,7.6218038,7.2240124,8.488416
159,3,8.929766,7.257132,8.488416
160,1,7.6218038,7.236187,8.020643
160,2,8.929766,7.2173305,8.020643
160,3,6.998635,7.248962,8.020643
161,1,8.929766,7.2448854,7.6218038
161,2,6.998635,7.223298,7.6218038
161,3,7.9232116,7.2682376,7.6218038
162,1,6.998635,7.245602,8.929766
162,2,7.9232116,7.2204204,8.929766
162,3,8.856124,7.287865,8.929766
163,1,7.9232116,7.2610703,6.998635
163,2,8.856124,7.231877,6.998635
163,3,7.2139645,7.27266,6.998635
164,1,8.856124,7.2611313,7.9232116
164,2,7.2139645,7.233419,7.9232116
164,3,8.9299135,7.302282,7.9232116
165,1,7.2139645,7.2547283,8.856124
165,2,8.9299135,7.226607,8.856124
165,3,7.016377,7.2778373,8.856124
166,1,8.9299135,7.285268,7.2139645
166,2,7.016377,7.2558885,7.2139645
166,3,9.693118,7.3243613,7.2139645
167,1,7.016377,7.2648053,8.9299135
167,2,9.693118,7.237459,8.9299135
167,3,3.276025,7.3189077,8.9299135
168,1,9.693118,7.277136,7.016377
168,2,3.276025,7.241691,7.016377
168,3,7.306158,7.301826,7.016377
169,1,3.276025,7.2547836,9.693118
169,2,7.306158,7.2296915,9.693118
169,3,7.0662446,7.28384,9.693118
170,1,7.306158,7.303007,3.276025
170,2,7.0662446,7.26582,3.276025
170,3,8.442441,7.281283,3.276025
171,1,7.0662446,7.286317,7.306158
171,2,8.442441,7.259029,7.306158
171,3,9.683956,7.3289347,7.306158
172,1,8.442441,7.2843866,7.0662446
172,2,9.683956,7.272767,7.0662446
172,3,8.863918,7.344936,7.0662446
173,1,9.683956,7.272001,8.442441
173,2,8.863918,7.272618,8.442441
173,3,5.986304,7.35467,8.442441
174,1,8.863918,7.2336164,9.683956
174,2,5.986304,7.230488,9.683956
174,3,6.3694043,7.32365,9.683956
175,1,5.986304,7.25078,8.863918
175,2,6.3694043,7.2357473,8.863918
175,3,1.877527,7.3164206,8.863918
176,1,6.3694043,7.291998,5.986304
176,2,1.877527,7.264044,5.986304
176,3,8.915708,7.3047047,5.986304
177,1,1.877527,7.3056684,6.3694043
177,2,8.915708,7.2737017,6.3694043
177,3,7.516639,7.329011,6.3694043
178,1,8.915708,7.412639,1.877527
178,2,7.516639,7.367022,1.877527
178,3,5.433894,7.3541274,1.877527
179,1,7.516639,7.320785,8.915708
179,2,5.433894,7.3246675,8.915708
179,3,7.3266816,7.395624,8.915708
180,1,5.433894,7.3301578,7.516639
180,2,7.3266816,7.3426423,7.516639
180,3,7.4506645,7.388499,7.516639
181,1,7.3266816,7.378515,5.433894
181,2,7.4506645,7.372567,5.433894
181,3,8.210461,7.384122,5.433894
182,1,7.4506645,7.3656206,7.3266816
182,2,8.210461,7.3640823,7.3266816
182,3,6.228024,7.3922524,7.3266816
183,1,8.210461,7.363855,7.4506645
183,2,6.228024,7.3629317,7.4506645
183,3,-1.0106629,7.3909187,7.4506645
184,1,6.228024,7.351065,8.210461
184,2,-1.0106629,7.3539205,8.210461
184,3,9.4266205,7.387535,8.210461
185,1,-1.0106629,7.3825073,6.228024
185,2,9.4266205,7.3694377,6.228024
185,3,7.3114514,7.3799357,6.228024
186,1,9.4266205,7.4714236,-1.0106629
186,2,7.3114514,7.423403,-1.0106629
186,3,2.422755,7.382648,-1.0106629
187,1,7.3114514,7.3545837,9.4266205
187,2,2.422755,7.358204,9.4266205
187,3,6.0575686,7.4134746,9.4266205
