window,h,true,lstm,last_sinr
148,1,4.743676,7.209126,8.36185
148,2,7.7873693,7.24028,8.36185
148,3,5.3426237,7.201943,8.36185
149,1,7.7873693,7.2778335,4.743676
149,2,5.3426237,7.123464,4.743676
149,3,9.475699,7.159545,4.743676
150,1,5.3426237,7.261131,7.7873693
150,2,9.475699,7.242919,7.7873693
150,3,8.434783,7.269327,7.7873693
151,1,9.475699,7.3258357,5.3426237
151,2,8.434783,7.1909313,5.3426237
151,3,6.6985283,7.248733,5.3426237
152,1,8.434783,7.2994523,9.475699
152,2,6.6985283,7.456069,9.475699
152,3,4.603278,7.4160376,9.475699
153,1,6.6985283,7.3089633,8.434783
153,2,4.603278,7.2477736,8.434783
153,3,8.726952,7.256037,8.434783
154,1,4.603278,7.2720404,6.6985283
154,2,8.726952,7.171537,6.6985283
154,3,8.805511,7.192479,6.6985283
155,1,8.726952,7.2286334,4.603278
155,2,8.805511,7.0739927,4.603278
155,3,7.341608,7.1323576,4.603278
156,1,8.805511,7.228168,8.726952
156,2,7.341608,7.3165727,8.726952
156,3,8.753367,7.267553,8.726952
157,1,7.341608,7.2087426,8.805511
157,2,8.753367,7.2490077,8.805511
157,3,6.566896,7.2162786,8.805511
158,1,8.753367,7.311597,7.341608
158,2,6.566896,7.216572,7.341608
158,3,10.0814705,7.2366724,7.341608
159,1,6.566896,7.2382317,8.753367
159,2,10.0814705,7.260485,8.753367
159,3,9.076409,7.2427845,8.753367
160,1,10.0814705,7.3041644,6.566896
160,2,9.076409,7.213893,6.566896
160,3,8.939974,7.2208815,6.566896
161,1,9.076409,6.9536543,10.0814705
161,2,8.939974,7.2857885,10.0814705
161,3,7.4016438,7.1388745,10.0814705
162,1,8.939974,7.3536024,9.076409
162,2,7.4016438,7.311148,9.076409
162,3,5.520136,7.351494,9.076409
163,1,7.4016438,7.2697234,8.939974
163,2,5.520136,7.2400723,8.939974
163,3,8.868546,7.2741632,8.939974
164,1,5.520136,7.2859254,7.4016438
164,2,8.868546,7.177214,7.4016438
164,3,7.2392836,7.1949,7.4016438
165,1,8.868546,7.2385087,5.520136
165,2,7.2392836,7.134045,5.520136
165,3,8.540664,7.1500974,5.520136
166,1,7.2392836,7.2357254,8.868546
166,2,8.540664,7.318284,8.868546
166,3,4.4268336,7.282283,8.868546
167,1,8.540664,7.309931,7.2392836
167,2,4.4268336,7.22655,7.2392836
167,3,8.488416,7.2541676,7.2392836
168,1,4.4268336,7.2085147,8.540664
168,2,8.488416,7.2327023,8.540664
168,3,8.020643,7.2016244,8.540664
169,1,8.488416,7.2319465,4.4268336
169,2,8.020643,7.0578494,4.4268336
169,3,7.6218038,7.1023693,4.4268336
